shmmitzrach,english_name,food_energy,rephrased_english,rephrased_hebrew
"מי גבינה, חומצי, נוזלי","Whey, acid, fluid",24,"A liquid dairy byproduct from cheese-making, acidic in nature.","תוצר לוואי נוזלי של תהליך ייצור גבינה, חומצי באופיו."
"בורגול, מבושל עם שעועית לבנה ועגבניות","Bulgur, cooked with white beans and tomatoes",112,"A cooked grain dish containing bulgur, white beans, and tomatoes.","תבשיל דגן מבושל המכיל בורגול, שעועית לבנה ועגבניות."
חלב אם,"Milk, human",70,"Breast milk, produced by humans.","חלב אם, מופק על ידי בני אדם."
"חלב 3% שומן, תנובה, טרה, הרדוף, יטבתה","Milk, cow, 3% fat",60,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"חלב 1% שומן בקרטון מועשר ויטמין A,D, וסידן ","Milk, cow, 1% fat, fortified with calcium",42,Low-fat cow’s milk (1%) enriched with calcium and vitamins A and D.,חלב פרה דל שומן (1%) מועשר בסידן ובוויטמינים A ו-D.
"חלב 3% שומן, מועשר בסידן, תנובה,טרה,יטבתה","Milk, cow, 3% fat, fortified with calcium, Tnuva/Tara/Yotvata",58,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"חלב 3% שומן, מועשר בויטמינים B12, D,E, יטבתה","Milk, cow, 3% fat, fortified with vitamins, Yotvata",57,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"חלב 1% שומן, תנובה, טרה, הרדוף, יטבתה","Milk, cow, 1% fat, Tnuva/Tara/Harduf/Yotvata",43,Low-fat cow’s milk (1%) enriched with calcium and vitamins A and D.,חלב פרה דל שומן (1%) מועשר בסידן ובוויטמינים A ו-D.
"משקה חלב בטעם וניל,3% שומן, טרה","Milk drink, 3% fat, vanilla/banana/mocha, Tara",86,"A flavored milk-based beverage, typically with added sugar or flavors.","משקה על בסיס חלב, לרוב עם תוספת סוכר או טעמים."
"חלב 2% שומן, כולל דל לקטוז, תנובה","Milk, cow, 3% fat, reduced lactose, Tnuva",51,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
חלב עזים 4% שומן,"Milk, goat, fluid, whole",69,"Goat’s milk, typically higher in certain minerals than cow’s milk.","חלב עזים, לרוב עשיר יותר במינרלים מחלב פרה."
"חלב עזים 3.7% שומן, צוריאל","Milk, goat, 3.7% fat, Tzuriel",66,"Goat’s milk, typically higher in certain minerals than cow’s milk.","חלב עזים, לרוב עשיר יותר במינרלים מחלב פרה."
חלב כבשים 7% שומן,"Milk, sheep, 7% fat",108,"Food item: Milk, sheep, 7% fat",מזון: חלב כבשים 7% שומן
חלב נאקות (גמלים),"Milk, camel",58,"Food item: Milk, camel",מזון: חלב נאקות (גמלים)
"חלב מיובש, מלא, משוחזר","Milk, dry, reconstituted, whole",61,"Food item: Milk, dry, reconstituted, whole","מזון: חלב מיובש, מלא, משוחזר"
"חלב מיובש דל שומן ,אבקה, ללא תוספת ויטמין A","Milk, cow, dry, whole, no added vitamin A",358,"Food item: Milk, cow, dry, whole, no added vitamin A","מזון: חלב מיובש דל שומן ,אבקה, ללא תוספת ויטמין A"
"מי גבינה מיובשים, אבקה, DRIED WHEY","Milk, cow, dried whey",339,"Powdered dairy byproduct (whey), used in processed foods.","תוצר לוואי של חלב בצורה אבקתית, משמש במזונות מעובדים."
"חלב מרוכז, ממותק, לא מדולל","Milk, cow, condensed, sweetened, undiluted",321,"Sweetened condensed cow’s milk, thick and high in sugar.","חלב פרה מרוכז וממותק, סמיך ועשיר בסוכר."
"יוגורט 4.5% שומן, תנובה","Yoghurt, cow milk, 4.5% fat, unflavored, Tnuva",68,Yogurt made from cow's milk with 4.5% fat content.,יוגורט מחלב פרה עם תכולת שומן של 4.5%.
"יוגורט ביו 3% שומן, תנובה","Yoghurt, cow milk, bio, 3% fat, unflavored, Tnuva",65,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"יוגורט, 1.5% שומן, רויון, תנובה","Buttermilk, cow, 1.5% fat, unflavored, Tnuva",48,"Food item: Buttermilk, cow, 1.5% fat, unflavored, Tnuva","מזון: יוגורט, 1.5% שומן, רויון, תנובה"
"יוגורט של פעם 3% שומן, השומרון","Yoghurt, cow milk, 4% fat, unflavored",71,"Food item: Yoghurt, cow milk, 4% fat, unflavored","מזון: יוגורט של פעם 3% שומן, השומרון"
"יוגורט 1.9% שומן  עם גרנולה ופירות ,פרילי טבע, תנובה","Yoghurt, cow milk, 3% fat, with granola and fruit, Prili, Teva/Tnuva",98,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"יוגורט ביו  3% שומן,דנונה, שטראוס","Yoghurt, cow milk, 3% fat, unflavored, with probiotics, Danona/Strauss",70,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"יוגורט ביו 3%, תות/אפרסק/שזיף/מנגו","Yoghurt, cow milk, 3% fat, fruit flavored, with probiotics",115,Cow's milk with 3% fat content.,חלב פרה עם תכולת שומן של 3%.
"יוגורט פרי דיאט 0% שומן, פירות יער, דובדבן, מיקס פירות טרופי ","Yoghurt, cow milk, 0% fat, cherry/tropical fruit flavored",40,"Food item: Yoghurt, cow milk, 0% fat, cherry/tropical fruit flavored","מזון: יוגורט פרי דיאט 0% שומן, פירות יער, דובדבן, מיקס פירות טרופי"
"יוגורט ביו 1.5% שומן,דנונה, שטראוס","Yoghurt, cow milk, 1.5% fat, unflavored, with probiotics, Danona/Strauss",53,"Food item: Yoghurt, cow milk, 1.5% fat, unflavored, with probiotics, Danona/Strauss","מזון: יוגורט ביו 1.5% שומן,דנונה, שטראוס"
